吉林电信-组播1,#genre#
CCTV1,http://36.49.53.110:8800/rtp:/239.37.0.235:5540
CCTV2,http://36.49.53.110:8800/rtp:/239.37.0.3:5540
CCTV3,http://36.49.53.110:8800/rtp:/239.37.0.231:5540
CCTV4,http://36.49.53.110:8800/rtp:/239.37.1.25:5540
CCTV4欧洲,http://36.49.53.110:8800/rtp:/239.37.1.11:5540
CCTV4美洲,http://36.49.53.110:8800/rtp:/239.37.1.12:5540
CCTV5,http://36.49.53.110:8800/rtp:/239.37.0.232:5540
CCTV5+,http://36.49.53.110:8800/rtp:/239.37.0.121:5540
CCTV6,http://36.49.53.110:8800/rtp:/239.37.0.233:5540
CCTV7,http://36.49.53.110:8800/rtp:/239.37.1.20:5540
CCTV8,http://36.49.53.110:8800/rtp:/239.37.0.234:5540
CCTV9,http://36.49.53.110:8800/rtp:/239.37.0.1:5540
CCTV10,http://36.49.53.110:8800/rtp:/239.37.0.7:5540
CCTV11,http://36.49.53.110:8800/rtp:/239.37.1.26:5540
CCTV12,http://36.49.53.110:8800/rtp:/239.37.0.6:5540
CCTV13,http://36.49.53.110:8800/rtp:/239.37.1.27:5540
CCTV14,http://36.49.53.110:8800/rtp:/239.37.0.5:5540
CCTV15,http://36.49.53.110:8800/rtp:/239.37.1.28:5540
CCTV16,http://36.49.53.110:8800/rtp:/239.37.1.21:5540
CCTV17,http://36.49.53.110:8800/rtp:/239.37.0.2:5540
CGTN,http://36.49.53.110:8800/rtp:/239.37.1.13:5540
CGTN记录,http://36.49.53.110:8800/rtp:/239.37.1.14:5540
CCTV电视指南,http://36.49.53.110:8800/rtp:/239.37.0.115:5540
CCTV第一剧场,http://36.49.53.110:8800/rtp:/239.37.0.78:5540
CCTV风云剧场,http://36.49.53.110:8800/rtp:/239.37.0.114:5540
CCTV怀旧剧场,http://36.49.53.110:8800/rtp:/239.37.0.82:5540
CCTV兵器科技,http://36.49.53.110:8800/rtp:/239.37.0.84:5540
CCTV女性时尚,http://36.49.53.110:8800/rtp:/239.37.0.69:5540
