江苏电信-组播1,#genre#
CCTV1,http://49.77.104.109:8554/rtp/239.49.8.19:9614
CCTV2,http://49.77.104.109:8554/rtp/239.49.8.50:9802
CCTV3,http://49.77.104.109:8554/rtp/239.49.0.28:8000
CCTV4,http://49.77.104.109:8554/rtp/239.49.8.51:9806
CCTV5,http://49.77.104.109:8554/rtp/239.49.0.132:9048
CCTV6,http://49.77.104.109:8554/rtp/239.49.0.73:8000
CCTV7,http://49.77.104.109:8554/rtp/239.49.0.126:8000
CCTV8,http://49.77.104.109:8554/rtp/239.49.0.79:8000
CCTV9,http://49.77.104.109:8554/rtp/239.49.8.53:9814
CCTV10,http://49.77.104.109:8554/rtp/239.49.8.54:9818
CCTV11,http://49.77.104.109:8554/rtp/239.49.0.127:8000
CCTV12,http://49.77.104.109:8554/rtp/239.49.8.55:9822
CCTV13,http://49.77.104.109:8554/rtp/239.49.0.41:8320
CCTV14,http://49.77.104.109:8554/rtp/239.49.8.56:9826
CCTV15,http://49.77.104.109:8554/rtp/239.49.0.128:8000
CCTV16,http://49.77.104.109:8554/rtp/239.49.8.31:8000
CCTV17,http://49.77.104.109:8554/rtp/239.49.8.52:9810
CCTV5+,http://49.77.104.109:8554/rtp/239.49.8.18:9610
CCTV16 4K,http://49.77.104.109:8554/rtp/239.49.0.109:8000
CCTV4K,http://49.77.104.109:8554/rtp/239.49.0.82:8000
CGTN,http://49.77.104.109:8554/rtp/239.49.0.9:8064
CGTN英语,http://49.77.104.109:8554/rtp/239.49.1.9:6000
CGTN西语,http://49.77.104.109:8554/rtp/239.49.1.30:8000
CGTN法语,http://49.77.104.109:8554/rtp/239.49.1.31:8000
CGTN俄语,http://49.77.104.109:8554/rtp/239.49.0.111:8000
CETV1,http://49.77.104.109:8554/rtp/239.49.8.115:8000
CETV2,http://49.77.104.109:8554/rtp/239.49.0.71:8560
CETV4,http://49.77.104.109:8554/rtp/239.49.0.125:8000
北京卫视4K,http://49.77.104.109:8554/rtp/239.49.0.42:8000
北京卫视4K（HDR）,http://49.77.104.109:8554/rtp/239.49.0.253:8000
广东卫视4K（SDR）,http://49.77.104.109:8554/rtp/239.49.1.24:8000
广东卫视4K（HDR）,http://49.77.104.109:8554/rtp/239.49.1.26:8000
深圳卫视4K（SDR）,http://49.77.104.109:8554/rtp/239.49.1.27:8000
深圳卫视4K（HDR）,http://49.77.104.109:8554/rtp/239.49.1.28:8000
江苏卫视4K (HDR),rtp://239.49.1.62:8000
浙江卫视4K (HDR),rtp://239.49.1.64:8000
四川卫视4K (HDR),rtp://239.49.1.66:8000
湖南卫视4K (HDR),rtp://239.49.1.68:8000
东方卫视4K (HDR),rtp://239.49.1.70:8000
山东卫视4K (HDR),rtp://239.49.1.72:8000
4K跨年直播1,rtp://239.49.8.38:8000
4K跨年直播2,rtp://239.49.8.82:8000
江苏卫视,http://49.77.104.109:8554/rtp/239.49.8.16:9602
湖南卫视,http://49.77.104.109:8554/rtp/239.49.8.12:9418
北京卫视,http://49.77.104.109:8554/rtp/239.49.8.11:9414
东方卫视,http://49.77.104.109:8554/rtp/239.49.8.17:9606
天津卫视,http://49.77.104.109:8554/rtp/239.49.8.35:8620
重庆卫视,http://49.77.104.109:8554/rtp/239.49.8.57:9830
东南卫视,http://49.77.104.109:8554/rtp/239.49.8.112:8000
浙江卫视,http://49.77.104.109:8554/rtp/239.49.8.20:9618
河南卫视,http://49.77.104.109:8554/rtp/239.49.8.29:8000
