福建电信-组播1,#genre#
CCTV1综合,http://120.40.57.131:1000/rtp/239.61.3.61:9884
CCTV2财经,http://120.40.57.131:1000/rtp/239.61.2.174:9032
CCTV3综艺,http://120.40.57.131:1000/rtp/239.61.3.34:9722
CCTV4中文国际,http://120.40.57.131:1000/rtp/239.61.2.206:9224
CCTV5体育,http://120.40.57.131:1000/rtp/239.61.3.35:9728
CCTV6电影,http://120.40.57.131:1000/rtp/239.61.3.36:9734
CCTV7国防军事,http://120.40.57.131:1000/rtp/239.61.2.175:9038
CCTV8电视剧,http://120.40.57.131:1000/rtp/239.61.3.37:9740
CCTV9纪录,http://120.40.57.131:1000/rtp/239.61.2.172:9020
CCTV10科教,http://120.40.57.131:1000/rtp/239.61.2.176:9044
CCTV11戏曲,http://120.40.57.131:1000/rtp/239.61.2.21:8120
CCTV12社会与法,http://120.40.57.131:1000/rtp/239.61.2.177:9050
CCTV13新闻,http://120.40.57.131:1000/rtp/239.61.2.23:8132
CCTV14少儿,http://120.40.57.131:1000/rtp/239.61.2.178:9056
CCTV15音乐,http://120.40.57.131:1000/rtp/239.61.2.25:8144
CCTV17农业农村,http://120.40.57.131:1000/rtp/239.61.3.9:9572
CCTV5+体育赛事,http://120.40.57.131:1000/rtp/239.61.2.171:9014
CGTN英语,http://120.40.57.131:1000/rtp/239.61.2.19:8108
CGTN纪录,http://120.40.57.131:1000/rtp/239.61.3.43:9776
CGTN法语,http://120.40.57.131:1000/rtp/239.61.3.44:9782
CGTN俄语,http://120.40.57.131:1000/rtp/239.61.3.45:9788
北京卫视4K,http://120.40.57.131:1000/rtp/239.61.4.194:1025
广东卫视4K,http://120.40.57.131:1000/rtp/239.61.4.195:1025
深圳卫视4K,http://120.40.57.131:1000/rtp/239.61.4.196:1025
东方卫视4K,http://120.40.57.131:1000/rtp/239.61.4.215:1025
江苏卫视4K,http://120.40.57.131:1000/rtp/239.61.4.216:1025
浙江卫视4K,http://120.40.57.131:1000/rtp/239.61.4.217:1025
山东卫视4K,http://120.40.57.131:1000/rtp/239.61.4.218:1025
湖南卫视4K,http://120.40.57.131:1000/rtp/239.61.4.219:1025
四川卫视4K,http://120.40.57.131:1000/rtp/239.61.4.220:1025
爱上4K,http://120.40.57.131:1000/rtp/239.61.5.164:1025
百视4K,http://120.40.57.131:1000/rtp/239.61.4.129:1025
欢笑剧场4K,http://120.40.57.131:1000/rtp/239.61.4.145:1025
凤凰卫视资讯台,http://120.40.57.131:1000/rtp/239.61.2.183:9086
凤凰卫视中文台,http://120.40.57.131:1000/rtp/239.61.2.184:9092
东南卫视,http://120.40.57.131:1000/rtp/239.61.2.132:8708
东方卫视,http://120.40.57.131:1000/rtp/239.61.2.28:8162
湖南卫视,http://120.40.57.131:1000/rtp/239.61.2.31:8180
江苏卫视,http://120.40.57.131:1000/rtp/239.61.2.30:8174
浙江卫视,http://120.40.57.131:1000/rtp/239.61.2.29:8168
河北卫视,http://120.40.57.131:1000/rtp/239.61.2.57:8336
广东卫视,http://120.40.57.131:1000/rtp/239.61.2.33:8192
山东卫视,http://120.40.57.131:1000/rtp/239.61.2.119:8708
湖北卫视,http://120.40.57.131:1000/rtp/239.61.2.120:8714
深圳卫视,http://120.40.57.131:1000/rtp/239.61.3.46:9794
黑龙江卫视,http://120.40.57.131:1000/rtp/239.61.2.34:8198
贵州卫视,http://120.40.57.131:1000/rtp/239.61.2.159:8942
安徽卫视,http://120.40.57.131:1000/rtp/239.61.2.248:9476
天津卫视,http://120.40.57.131:1000/rtp/239.61.2.180:9068
四川卫视,http://120.40.57.131:1000/rtp/239.61.2.251:9494
江西卫视,http://120.40.57.131:1000/rtp/239.61.2.182:9080
辽宁卫视,http://120.40.57.131:1000/rtp/239.61.2.181:9074
重庆卫视,http://120.40.57.131:1000/rtp/239.61.2.250:9488
北京卫视,http://120.40.57.131:1000/rtp/239.61.2.32:8186
云南卫视,http://120.40.57.131:1000/rtp/239.61.2.61:8360
河南卫视,http://120.40.57.131:1000/rtp/239.61.2.59:8348
海南卫视,http://120.40.57.131:1000/rtp/239.61.2.42:8246
广西卫视,http://120.40.57.131:1000/rtp/239.61.2.48:8282
甘肃卫视,http://120.40.57.131:1000/rtp/239.61.2.225:9338
吉林卫视,http://120.40.57.131:1000/rtp/239.61.2.223:9326
青海卫视,http://120.40.57.131:1000/rtp/239.61.2.60:8354
宁夏卫视,http://120.40.57.131:1000/rtp/239.61.2.56:8330
吉林卫视,http://120.40.57.131:1000/rtp/239.61.2.223:9326
山西卫视,http://120.40.57.131:1000/rtp/239.61.2.224:9332
甘肃卫视,http://120.40.57.131:1000/rtp/239.61.2.225:9338
内蒙古卫视,http://120.40.57.131:1000/rtp/239.61.2.226:9344
新疆卫视,http://120.40.57.131:1000/rtp/239.61.2.227:9350
兵团卫视,http://120.40.57.131:1000/rtp/239.61.2.228:9356
西藏卫视,http://120.40.57.131:1000/rtp/239.61.2.229:9362
福建综合,http://120.40.57.131:1000/rtp/239.61.3.4:9542
福建公共,http://120.40.57.131:1000/rtp/239.61.2.3:8012
福建新闻,http://120.40.57.131:1000/rtp/239.61.2.4:8018
福建电视剧,http://120.40.57.131:1000/rtp/239.61.2.5:8024
福建经济,http://120.40.57.131:1000/rtp/239.61.2.7:8036
福建文体,http://120.40.57.131:1000/rtp/239.61.2.160:8948
福建少儿,http://120.40.57.131:1000/rtp/239.61.2.9:8048
福建教育,http://120.40.57.131:1000/rtp/239.61.2.173:9026
福建旅游,http://120.40.57.131:1000/rtp/239.61.2.6:8030
海峡卫视,http://120.40.57.131:1000/rtp/239.61.2.151:8894
三沙卫视,http://120.40.57.131:1000/rtp/239.61.3.10:9578
厦门卫视,http://120.40.57.131:1000/rtp/239.61.2.11:8060
CETV1,http://120.40.57.131:1000/rtp/239.61.2.167:8990
CETV2,http://120.40.57.131:1000/rtp/239.61.3.6:9554
CETV4,http://120.40.57.131:1000/rtp/239.61.3.15:9608
CHC动作电影,http://120.40.57.131:1000/rtp/239.61.3.16:9616
金鹰纪实,http://120.40.57.131:1000/rtp/239.61.3.7:9560
茶,http://120.40.57.131:1000/rtp/239.61.3.59:9872
河南梨园,http://120.40.57.131:1000/rtp/239.61.3.19:9634
河南文物宝库,http://120.40.57.131:1000/rtp/239.61.3.21:9646
河南武术世界,http://120.40.57.131:1000/rtp/239.61.3.22:9652
中国天气,http://120.40.57.131:1000/rtp/239.61.2.64:8378
金鹰卡通,http://120.40.57.131:1000/rtp/239.61.2.221:9314
卡酷少儿,http://120.40.57.131:1000/rtp/239.61.2.222:9320
嘉佳卡通,http://120.40.57.131:1000/rtp/239.61.2.72:8426
福州新闻,http://120.40.57.131:1000/rtp/239.61.5.97:1025
龙岩新闻,http://120.40.57.131:1000/rtp/239.61.5.95:1025
南平新闻,http://120.40.57.131:1000/rtp/239.61.5.92:1025
宁德新闻,http://120.40.57.131:1000/rtp/239.61.5.96:1025
平潭新闻,http://120.40.57.131:1000/rtp/239.61.5.117:1025
莆田新闻,http://120.40.57.131:1000/rtp/239.61.5.94:1025
泉州新闻,http://120.40.57.131:1000/rtp/239.61.5.98:1025
三明新闻,http://120.40.57.131:1000/rtp/239.61.5.93:1025
漳州新闻,http://120.40.57.131:1000/rtp/239.61.5.91:1025
厦门1,http://120.40.57.131:1000/rtp/239.61.4.139:1025
厦门2,http://120.40.57.131:1000/rtp/239.61.4.140:1025
